datetime,price,ticker
2024-03-08 15:30,195.94,IBM
2024-03-08 15:00,195.6,IBM
2024-03-08 14:30,196.03,IBM
2024-03-08 14:00,195.76,IBM
2024-03-08 13:30,194.63,IBM
2024-03-08 13:00,195.05,IBM
2024-03-08 12:30,195.14,IBM
2024-03-08 12:00,195.7,IBM
2024-03-08 11:30,196.32,IBM
2024-03-08 11:00,196.5,IBM
2024-03-08 10:30,197.552,IBM
2024-03-08 10:00,196.94,IBM
2024-03-08 9:30,196.98,IBM
2024-03-07 15:30,196.51,IBM
2024-03-07 15:00,196.68,IBM
2024-03-07 14:30,197.11,IBM
2024-03-07 14:00,197.54,IBM
2024-03-07 13:30,197.77,IBM
2024-03-07 13:00,197.43,IBM
2024-03-07 12:30,197.308,IBM
2024-03-07 12:00,196.72,IBM
2024-03-07 11:30,196.9,IBM
2024-03-07 11:00,196.22,IBM
2024-03-07 10:30,196.72,IBM
2024-03-07 10:00,196.55,IBM
2024-03-07 9:30,197.475,IBM
2024-03-06 15:30,196.14,IBM
2024-03-06 15:00,195.69,IBM
2024-03-06 14:30,195.45,IBM
2024-03-06 14:00,196.12,IBM
2024-03-06 13:30,197.56,IBM
2024-03-06 13:00,198.01,IBM
2024-03-06 12:30,197.79,IBM
2024-03-06 12:00,197.43,IBM
2024-03-06 11:30,197.28,IBM
2024-03-06 11:00,196.76,IBM
2024-03-06 10:30,195.8,IBM
2024-03-06 10:00,195.13,IBM
2024-03-06 9:30,193.92,IBM
2024-03-05 15:30,191.96,IBM
2024-03-05 15:00,191.81,IBM
2024-03-05 14:30,192.345,IBM
2024-03-05 14:00,192.9,IBM
2024-03-05 13:30,192.44,IBM
2024-03-05 13:00,193.525,IBM
2024-03-05 12:30,193.29,IBM
2024-03-05 12:00,193.86,IBM
2024-03-05 11:30,192.73,IBM
2024-03-05 11:00,193.55,IBM
2024-03-05 10:30,192.27,IBM
2024-03-05 10:00,192.115,IBM
2024-03-05 9:30,191.755,IBM
2024-03-04 15:30,193.09,IBM
2024-03-04 15:00,193.18,IBM
2024-03-04 14:30,193.33,IBM
2024-03-04 14:00,192.855,IBM
2024-03-04 13:30,192.965,IBM
2024-03-04 13:00,192.705,IBM
2024-03-04 12:30,192.965,IBM
2024-03-04 12:00,193.44,IBM
2024-03-04 11:30,192.92,IBM
2024-03-04 11:00,192.88,IBM
2024-03-04 10:30,192.08,IBM
2024-03-04 10:00,192.36,IBM
2024-03-04 9:30,191.7,IBM
2024-03-01 15:30,188.17,IBM
2024-03-01 15:00,187.62,IBM
2024-03-01 14:30,187.59,IBM
2024-03-01 14:00,187.455,IBM
2024-03-01 13:30,187.28,IBM
2024-03-01 13:00,187.22,IBM
2024-03-01 12:30,187.032,IBM
2024-03-01 12:00,187.38,IBM
2024-03-01 11:30,186.93,IBM
2024-03-01 11:00,186.86,IBM
2024-03-01 10:30,186.86,IBM
2024-03-01 10:00,186.82,IBM
2024-03-01 9:30,185.6,IBM
2024-02-29 15:30,184.875,IBM
2024-02-29 15:00,185.2,IBM
2024-02-29 14:30,184.96,IBM
2024-02-29 14:00,185.005,IBM
2024-02-29 13:30,184.87,IBM
2024-02-29 13:00,184.72,IBM
2024-02-29 12:30,185.27,IBM
2024-02-29 12:00,184.82,IBM
2024-02-29 11:30,185.203,IBM
2024-02-29 11:00,185.7,IBM
2024-02-29 10:30,186.33,IBM
2024-02-29 10:00,186.625,IBM
2024-02-29 9:30,185.83,IBM
2024-02-28 15:30,185.32,IBM
2024-02-28 15:00,184.85,IBM
2024-02-28 14:30,185.09,IBM
2024-02-28 14:00,184.91,IBM
2024-02-28 13:30,184.9,IBM
2024-02-28 13:00,184.43,IBM
2024-02-28 12:30,184.45,IBM
2024-02-28 12:00,184.286,IBM
2024-02-28 11:30,183.865,IBM
2024-02-28 11:00,184.08,IBM
2024-02-28 10:30,184.035,IBM
2024-02-28 10:00,183.97,IBM
2024-02-28 9:30,183.76,IBM
2024-02-27 15:30,184.86,IBM
2024-02-27 15:00,183.51,IBM
2024-02-27 14:30,182.91,IBM
2024-02-27 14:00,182.62,IBM
2024-02-27 13:30,183.045,IBM
2024-02-27 13:00,183.21,IBM
2024-02-27 12:30,182.924,IBM
2024-02-27 12:00,182.76,IBM
2024-02-27 11:30,183.114,IBM
2024-02-27 11:00,183.275,IBM
2024-02-27 10:30,183.46,IBM
2024-02-27 10:00,183.57,IBM
2024-02-27 9:30,184.36,IBM
2024-02-26 15:30,184.1,IBM
2024-02-26 15:00,185.2,IBM
2024-02-26 14:30,185.48,IBM
2024-02-26 14:00,185.765,IBM
2024-02-26 13:30,185.63,IBM
2024-02-26 13:00,185.35,IBM
2024-02-26 12:30,185.23,IBM
2024-02-26 12:00,185.135,IBM
2024-02-26 11:30,184.95,IBM
2024-02-26 11:00,184.66,IBM
2024-02-26 10:30,184.85,IBM
2024-02-26 10:00,184.435,IBM
2024-02-26 9:30,184.91,IBM
2024-02-23 15:30,185.7,IBM
2024-02-23 15:00,186.25,IBM
2024-02-23 14:30,186.135,IBM
2024-02-23 14:00,185.92,IBM
2024-02-23 13:30,185.87,IBM
2024-02-23 13:00,185.94,IBM
2024-02-23 12:30,186.09,IBM
2024-02-23 12:00,185.87,IBM
2024-02-23 11:30,185.8,IBM
2024-02-23 11:00,185.683,IBM
2024-02-23 10:30,185.88,IBM
2024-02-23 10:00,186.05,IBM
2024-02-23 9:30,185.41,IBM
2024-02-22 15:30,184.24,IBM
2024-02-22 15:00,184.23,IBM
2024-02-22 14:30,183.84,IBM
2024-02-22 14:00,183.995,IBM
2024-02-22 13:30,184.02,IBM
2024-02-22 13:00,183.865,IBM
2024-02-22 12:30,183.425,IBM
2024-02-22 12:00,183.055,IBM
2024-02-22 11:30,182.07,IBM
2024-02-22 11:00,182.72,IBM
2024-02-22 10:30,182.57,IBM
2024-02-22 10:00,182.315,IBM
2024-02-22 9:30,183.045,IBM
2024-02-21 15:30,179.75,IBM
2024-02-21 15:00,178.9,IBM
2024-02-21 14:30,179.31,IBM
2024-02-21 14:00,179.73,IBM
2024-02-21 13:30,180.447,IBM
2024-02-21 13:00,180.99,IBM
2024-02-21 12:30,181.06,IBM
2024-02-21 12:00,181.03,IBM
2024-02-21 11:30,181.279,IBM
2024-02-21 11:00,181.4,IBM
2024-02-21 10:30,181.48,IBM
2024-02-21 10:00,181.35,IBM
2024-02-21 9:30,182.18,IBM
2024-02-20 15:30,183.45,IBM
2024-02-20 15:00,183.89,IBM
2024-02-20 14:30,183.83,IBM
2024-02-20 14:00,183.965,IBM
2024-02-20 13:30,184.08,IBM
2024-02-20 13:00,184.095,IBM
2024-02-20 12:30,184.48,IBM
2024-02-20 12:00,184.105,IBM
2024-02-20 11:30,184.44,IBM
2024-02-20 11:00,185.21,IBM
2024-02-20 10:30,185.2,IBM
2024-02-20 10:00,185.6,IBM
2024-02-20 9:30,187.015,IBM
2024-02-16 15:30,187.67,IBM
2024-02-16 15:00,187.781,IBM
2024-02-16 14:30,187.49,IBM
2024-02-16 14:00,187.63,IBM
2024-02-16 13:30,187.965,IBM
2024-02-16 13:00,187.69,IBM
2024-02-16 12:30,188.311,IBM
2024-02-16 12:00,188.55,IBM
2024-02-16 11:30,188.07,IBM
2024-02-16 11:00,187.78,IBM
2024-02-16 10:30,187.78,IBM
2024-02-16 10:00,187.8,IBM
2024-02-16 9:30,186.65,IBM
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,